,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
17,0.0,0.0,0.0,0.0,2,0.5,rbf,"{'C': 2, 'gamma': 0.5, 'kernel': 'rbf'}",0.9803921568627451,0.9803921568627451,1.0,0.9866666666666667,0.009146591207600491,1,0.9696969696969697,1.0,0.9901960784313726,0.9866310160427808,0.012625388806224458
18,0.0003342628479003906,0.0004727190528981875,0.0,0.0,2,1,linear,"{'C': 2, 'gamma': 1, 'kernel': 'linear'}",1.0,0.9607843137254902,1.0,0.9866666666666667,0.018576814560512946,1,0.9696969696969697,1.0,0.9901960784313726,0.9866310160427808,0.012625388806224458
19,0.0010026295979817708,2.247831920581015e-07,0.0,0.0,2,1,rbf,"{'C': 2, 'gamma': 1, 'kernel': 'rbf'}",0.9803921568627451,0.9607843137254902,1.0,0.98,0.015924659219017204,10,0.9595959595959596,1.0,0.9901960784313726,0.9832640126757773,0.017207784516951524
20,0.0006702740987141927,0.00047396019777264326,0.0,0.0,2,2,linear,"{'C': 2, 'gamma': 2, 'kernel': 'linear'}",1.0,0.9607843137254902,1.0,0.9866666666666667,0.018576814560512946,1,0.9696969696969697,1.0,0.9901960784313726,0.9866310160427808,0.012625388806224458
21,0.0003325144449869792,0.00047024643778554833,0.0,0.0,2,2,rbf,"{'C': 2, 'gamma': 2, 'kernel': 'rbf'}",0.9803921568627451,0.9607843137254902,1.0,0.98,0.015924659219017204,10,0.9797979797979798,1.0,0.9901960784313726,0.989998019409784,0.008248629202994184
22,0.0,0.0,0.0,0.0,2,4,linear,"{'C': 2, 'gamma': 4, 'kernel': 'linear'}",1.0,0.9607843137254902,1.0,0.9866666666666667,0.018576814560512946,1,0.9696969696969697,1.0,0.9901960784313726,0.9866310160427808,0.012625388806224458
23,0.0006685256958007812,0.0004727190528981875,0.0,0.0,2,4,rbf,"{'C': 2, 'gamma': 4, 'kernel': 'rbf'}",1.0,0.9607843137254902,0.9791666666666666,0.98,0.016179144164088305,10,0.98989898989899,1.0,0.9901960784313726,0.9933650227767875,0.0046932048370262386
24,0.0006684462229410807,0.00047266286712201297,0.0003342628479003906,0.0004727190528981875,4,0.125,linear,"{'C': 4, 'gamma': 0.125, 'kernel': 'linear'}",0.9803921568627451,0.9215686274509803,1.0,0.9666666666666667,0.033333333333333354,31,0.9696969696969697,1.0,0.9705882352941176,0.9800950683303625,0.014079614511078765
25,0.0,0.0,0.00033410390218098957,0.0004724942697061294,4,0.125,rbf,"{'C': 4, 'gamma': 0.125, 'kernel': 'rbf'}",1.0,0.9607843137254902,0.9791666666666666,0.98,0.016179144164088305,10,0.9696969696969697,1.0,0.9705882352941176,0.9800950683303625,0.014079614511078765
26,0.0006682872772216797,0.00047256571210241684,0.0,0.0,4,0.25,linear,"{'C': 4, 'gamma': 0.25, 'kernel': 'linear'}",0.9803921568627451,0.9215686274509803,1.0,0.9666666666666667,0.033333333333333354,31,0.9696969696969697,1.0,0.9705882352941176,0.9800950683303625,0.014079614511078765
27,0.0006684462229410807,0.00047266286712201297,0.0003341833750406901,0.00047260666130215836,4,0.25,rbf,"{'C': 4, 'gamma': 0.25, 'kernel': 'rbf'}",0.9803921568627451,0.9607843137254902,0.9791666666666666,0.9733333333333334,0.009020673423841885,24,0.9696969696969697,1.0,0.9705882352941176,0.9800950683303625,0.014079614511078765
28,0.0,0.0,0.0003341833750406901,0.00047260666130215836,4,0.5,linear,"{'C': 4, 'gamma': 0.5, 'kernel': 'linear'}",0.9803921568627451,0.9215686274509803,1.0,0.9666666666666667,0.033333333333333354,31,0.9696969696969697,1.0,0.9705882352941176,0.9800950683303625,0.014079614511078765
29,0.0,0.0,0.0,0.0,4,0.5,rbf,"{'C': 4, 'gamma': 0.5, 'kernel': 'rbf'}",0.9803921568627451,0.9607843137254902,1.0,0.98,0.015924659219017204,10,0.9595959595959596,1.0,0.9901960784313726,0.9832640126757773,0.017207784516951524
30,0.0,0.0,0.0,0.0,4,1,linear,"{'C': 4, 'gamma': 1, 'kernel': 'linear'}",0.9803921568627451,0.9215686274509803,1.0,0.9666666666666667,0.033333333333333354,31,0.9696969696969697,1.0,0.9705882352941176,0.9800950683303625,0.014079614511078765
31,0.0006685256958007812,0.0004727190528981875,0.0,0.0,4,1,rbf,"{'C': 4, 'gamma': 1, 'kernel': 'rbf'}",0.9803921568627451,0.9411764705882353,1.0,0.9733333333333334,0.024414717515722953,24,0.9595959595959596,1.0,0.9705882352941176,0.9767280649633591,0.0170566653934917
32,0.0,0.0,0.0,0.0,4,2,linear,"{'C': 4, 'gamma': 2, 'kernel': 'linear'}",0.9803921568627451,0.9215686274509803,1.0,0.9666666666666667,0.033333333333333354,31,0.9696969696969697,1.0,0.9705882352941176,0.9800950683303625,0.014079614511078765
33,0.0,0.0,0.0003341833750406901,0.0004726066613021584,4,2,rbf,"{'C': 4, 'gamma': 2, 'kernel': 'rbf'}",1.0,0.9607843137254902,1.0,0.9866666666666667,0.018576814560512946,1,0.9797979797979798,1.0,0.9901960784313726,0.989998019409784,0.008248629202994184
34,0.0,0.0,0.0,0.0,4,4,linear,"{'C': 4, 'gamma': 4, 'kernel': 'linear'}",0.9803921568627451,0.9215686274509803,1.0,0.9666666666666667,0.033333333333333354,31,0.9696969696969697,1.0,0.9705882352941176,0.9800950683303625,0.014079614511078765
35,0.0006685256958007812,0.00047271909298078065,0.0,0.0,4,4,rbf,"{'C': 4, 'gamma': 4, 'kernel': 'rbf'}",1.0,0.9607843137254902,0.9791666666666666,0.98,0.016179144164088305,10,0.98989898989899,1.0,1.0,0.9966329966329966,0.004761661826172016
